,ntrials,ncorrect,group
4273,9.0,1.0,1.0
4307,9.0,3.0,0.0
4346,9.0,3.0,1.0
4365,9.0,6.0,0.0
4366,,,1.0
4367,9.0,2.0,1.0
4368,9.0,5.0,1.0
4369,9.0,5.0,0.0
4370,9.0,2.0,1.0
4371,9.0,2.0,0.0
4372,9.0,6.0,0.0
4373,9.0,2.0,0.0
4374,9.0,1.0,0.0
4375,9.0,8.0,0.0
4376,9.0,5.0,0.0
4377,9.0,4.0,1.0
4378,9.0,4.0,0.0
4379,9.0,6.0,0.0
4380,9.0,5.0,1.0
4381,9.0,4.0,0.0
4382,9.0,5.0,1.0
4383,9.0,4.0,0.0
4384,9.0,2.0,1.0
4385,9.0,0.0,1.0
4386,9.0,6.0,0.0
4388,9.0,2.0,0.0
4389,9.0,7.0,0.0
4390,9.0,7.0,0.0
4391,9.0,9.0,0.0
4392,9.0,1.0,0.0
4393,9.0,7.0,0.0
4394,9.0,9.0,0.0
4395,9.0,5.0,0.0
4396,9.0,0.0,0.0
4397,9.0,6.0,0.0
4398,9.0,6.0,0.0
4399,,,0.0
4401,9.0,7.0,0.0
4402,9.0,3.0,1.0
4403,9.0,2.0,0.0
4404,9.0,5.0,0.0
4406,9.0,7.0,0.0
4407,,,0.0
4409,9.0,6.0,0.0
4410,9.0,5.0,1.0
4411,9.0,2.0,0.0
4412,9.0,4.0,0.0
4413,9.0,2.0,1.0
4414,9.0,6.0,0.0
4415,9.0,9.0,0.0
4416,9.0,9.0,0.0
4417,9.0,2.0,0.0
4418,,,0.0
4420,9.0,6.0,0.0
4421,9.0,6.0,0.0
4422,9.0,9.0,0.0
4423,9.0,4.0,1.0
4424,9.0,4.0,1.0
4425,9.0,3.0,0.0
4426,9.0,3.0,0.0
4427,9.0,2.0,1.0
4428,9.0,5.0,0.0
4429,9.0,3.0,1.0
4430,9.0,3.0,0.0
4432,9.0,6.0,0.0
4433,9.0,3.0,1.0
4434,9.0,4.0,0.0
4435,9.0,6.0,1.0
4436,9.0,5.0,0.0
4439,9.0,6.0,0.0
4440,9.0,1.0,0.0
4441,9.0,2.0,1.0
4443,9.0,7.0,0.0
4444,9.0,7.0,1.0
4445,9.0,4.0,1.0
4446,,,0.0
4447,9.0,3.0,0.0
4448,,,0.0
4449,9.0,4.0,0.0
4450,,,0.0
4451,9.0,7.0,0.0
4452,,,1.0
4453,9.0,2.0,1.0
4454,,,0.0
4455,,,0.0
4456,9.0,8.0,0.0
4457,,,0.0
4458,,,0.0
4459,,,0.0
4460,9.0,1.0,0.0
4461,9.0,4.0,1.0
4463,,,0.0
4464,,,0.0
4465,,,1.0
