,ntrials,ncorrect,group
4273,11.0,7.0,1.0
4307,32.0,25.0,0.0
4346,32.0,26.0,1.0
4365,31.0,23.0,0.0
4366,,,1.0
4367,21.0,10.0,1.0
4368,16.0,10.0,1.0
4369,21.0,16.0,0.0
4370,30.0,21.0,1.0
4371,10.0,6.0,0.0
4372,31.0,23.0,0.0
4373,20.0,11.0,0.0
4374,11.0,6.0,0.0
4375,25.0,18.0,0.0
4376,13.0,9.0,0.0
4377,23.0,19.0,1.0
4378,13.0,7.0,0.0
4379,21.0,15.0,0.0
4380,30.0,21.0,1.0
4381,28.0,24.0,0.0
4382,34.0,22.0,1.0
4383,26.0,19.0,0.0
4384,13.0,9.0,1.0
4385,28.0,19.0,1.0
4386,23.0,14.0,0.0
4388,25.0,16.0,0.0
4389,33.0,25.0,0.0
4390,35.0,32.0,0.0
4391,35.0,29.0,0.0
4392,31.0,27.0,0.0
4393,21.0,13.0,0.0
4394,28.0,18.0,0.0
4395,28.0,21.0,0.0
4396,28.0,21.0,0.0
4397,28.0,23.0,0.0
4398,28.0,23.0,0.0
4399,,,0.0
4401,29.0,22.0,0.0
4402,13.0,9.0,1.0
4403,14.0,10.0,0.0
4404,32.0,24.0,0.0
4406,,,0.0
4407,,,0.0
4409,27.0,21.0,0.0
4410,22.0,18.0,1.0
4411,32.0,28.0,0.0
4412,17.0,9.0,0.0
4413,29.0,23.0,1.0
4414,14.0,10.0,0.0
4415,25.0,19.0,0.0
4416,34.0,27.0,0.0
4417,25.0,16.0,0.0
4418,,,0.0
4420,13.0,9.0,0.0
4421,31.0,27.0,0.0
4422,25.0,20.0,0.0
4423,25.0,20.0,1.0
4424,30.0,22.0,1.0
4425,29.0,21.0,0.0
4426,16.0,9.0,0.0
4427,18.0,10.0,1.0
4428,11.0,7.0,0.0
4429,14.0,10.0,1.0
4430,25.0,20.0,0.0
4432,18.0,12.0,0.0
4433,22.0,15.0,1.0
4434,35.0,26.0,0.0
4435,26.0,19.0,1.0
4436,18.0,11.0,0.0
4439,31.0,26.0,0.0
4440,9.0,5.0,0.0
4441,16.0,11.0,1.0
4443,28.0,21.0,0.0
4444,35.0,24.0,1.0
4445,30.0,21.0,1.0
4446,,,0.0
4447,23.0,16.0,0.0
4448,,,0.0
4449,35.0,28.0,0.0
4450,,,0.0
4451,31.0,24.0,0.0
4452,,,1.0
4453,33.0,28.0,1.0
4454,,,0.0
4455,,,0.0
4456,31.0,26.0,0.0
4457,,,0.0
4458,,,0.0
4459,,,0.0
4460,23.0,15.0,0.0
4461,33.0,28.0,1.0
4463,,,0.0
4464,,,0.0
4465,,,1.0
