,ntrials,ncorrect,group
4273,12.0,4.0,1.0
4307,21.0,16.0,0.0
4346,21.0,16.0,1.0
4365,18.0,13.0,0.0
4366,,,1.0
4367,6.0,2.0,1.0
4368,9.0,2.0,1.0
4369,6.0,2.0,0.0
4370,9.0,3.0,1.0
4371,6.0,3.0,0.0
4372,27.0,23.0,0.0
4373,24.0,15.0,0.0
4374,15.0,10.0,0.0
4375,21.0,15.0,0.0
4376,9.0,4.0,0.0
4377,27.0,21.0,1.0
4378,21.0,14.0,0.0
4379,18.0,13.0,0.0
4380,9.0,6.0,1.0
4381,24.0,18.0,0.0
4382,,,1.0
4383,6.0,2.0,0.0
4384,6.0,2.0,1.0
4385,3.0,0.0,1.0
4386,6.0,3.0,0.0
4388,15.0,7.0,0.0
4389,27.0,20.0,0.0
4390,21.0,16.0,0.0
4391,24.0,18.0,0.0
4392,21.0,14.0,0.0
4393,18.0,13.0,0.0
4394,21.0,15.0,0.0
4395,24.0,16.0,0.0
4396,3.0,0.0,0.0
4397,24.0,17.0,0.0
4398,24.0,17.0,0.0
4399,,,0.0
4401,18.0,12.0,0.0
4402,9.0,3.0,1.0
4403,3.0,0.0,0.0
4404,9.0,4.0,0.0
4406,,,0.0
4407,,,0.0
4409,9.0,6.0,0.0
4410,21.0,15.0,1.0
4411,18.0,12.0,0.0
4412,3.0,0.0,0.0
4413,15.0,6.0,1.0
4414,24.0,13.0,0.0
4415,27.0,21.0,0.0
4416,24.0,18.0,0.0
4417,6.0,3.0,0.0
4418,,,0.0
4420,15.0,8.0,0.0
4421,27.0,21.0,0.0
4422,21.0,16.0,0.0
4423,27.0,19.0,1.0
4424,3.0,0.0,1.0
4425,21.0,16.0,0.0
4426,9.0,6.0,0.0
4427,6.0,1.0,1.0
4428,9.0,3.0,0.0
4429,6.0,3.0,1.0
4430,21.0,16.0,0.0
4432,18.0,12.0,0.0
4433,3.0,0.0,1.0
4434,18.0,15.0,0.0
4435,18.0,10.0,1.0
4436,6.0,3.0,0.0
4439,15.0,7.0,0.0
4440,6.0,3.0,0.0
4441,21.0,14.0,1.0
4443,21.0,16.0,0.0
4444,6.0,3.0,1.0
4445,27.0,16.0,1.0
4446,,,0.0
4447,6.0,3.0,0.0
4448,,,0.0
4449,27.0,22.0,0.0
4450,,,0.0
4451,27.0,18.0,0.0
4452,,,1.0
4453,24.0,18.0,1.0
4454,,,0.0
4455,,,0.0
4456,21.0,16.0,0.0
4457,,,0.0
4458,,,0.0
4459,,,0.0
4460,6.0,3.0,0.0
4461,24.0,12.0,1.0
4463,,,0.0
4464,,,0.0
4465,,,1.0
