,forward_ntrials,forward_ncorrect,forward_k,backward_ntrials,backward_ncorrect,backward_k,practice_ntrials,practice_ncorrect,practice_k,sequencing_ntrials,sequencing_ncorrect,sequencing_k,group
4273,8.0,5.0,5.0,8.0,5.0,4.0,6.0,5.0,4.0,12.0,7.0,4.0,1.0
4307,10.0,7.0,6.0,6.0,4.0,3.0,6.0,6.0,4.0,12.0,8.0,4.0,0.0
4346,10.0,7.0,6.0,8.0,4.0,4.0,6.0,6.0,4.0,12.0,8.0,4.0,1.0
4365,12.0,12.0,8.0,10.0,6.0,5.0,6.0,6.0,4.0,12.0,9.0,4.0,0.0
4366,,,,,,,,,,,,,1.0
4367,8.0,5.0,5.0,4.0,2.0,2.0,6.0,3.0,4.0,12.0,5.0,4.0,1.0
4368,8.0,6.0,5.0,6.0,3.0,3.0,6.0,2.0,3.0,6.0,3.0,2.0,1.0
4369,12.0,10.0,8.0,12.0,10.0,6.0,6.0,6.0,4.0,15.0,10.0,5.0,0.0
4370,8.0,6.0,5.0,8.0,6.0,4.0,6.0,4.0,4.0,12.0,6.0,4.0,1.0
4371,8.0,5.0,5.0,6.0,4.0,3.0,4.0,2.0,2.0,6.0,3.0,2.0,0.0
4372,12.0,12.0,8.0,12.0,9.0,7.0,6.0,6.0,4.0,18.0,14.0,6.0,0.0
4373,12.0,8.0,7.0,8.0,6.0,4.0,6.0,6.0,4.0,15.0,12.0,5.0,0.0
4374,12.0,9.0,7.0,4.0,2.0,2.0,6.0,6.0,4.0,12.0,8.0,4.0,0.0
4375,12.0,9.0,7.0,8.0,6.0,4.0,6.0,6.0,4.0,15.0,10.0,5.0,0.0
4376,12.0,8.0,7.0,8.0,5.0,4.0,6.0,6.0,4.0,15.0,10.0,5.0,0.0
4377,12.0,10.0,8.0,10.0,8.0,5.0,6.0,4.0,3.0,15.0,8.0,5.0,1.0
4378,10.0,7.0,6.0,4.0,2.0,2.0,6.0,4.0,4.0,12.0,7.0,4.0,0.0
4379,12.0,8.0,7.0,10.0,7.0,5.0,6.0,4.0,4.0,15.0,9.0,5.0,0.0
4380,8.0,6.0,5.0,4.0,2.0,2.0,6.0,4.0,3.0,6.0,3.0,2.0,1.0
